Country,Amount
Egypt,32805
United States,9719
Iran,6686
Peru,3409
France,1919
Mexico,1547
India,1444
Indonesia,1390
United Kingdom,1319
China,914
Turkey,913
Papua New Guinea,879
Germany,876
Nigeria,636
Italy,525
Syria,507
DR Congo,494
Iraq,434
Spain,410
Canada,379
Mali,378
Colombia,323
C̫te d'Ivoire,314
Costa Rica,240
Japan,236
Cameroon,232
Morocco,195
Bolivia,174
Ecuador,154
Ghana,151
Uzbekistan,136
Netherlands,127
Saudi Arabia,127
Afghanistan,125
Benin,124
Philippines,122
Austria,119
Guatemala,118
Panama,109
Burkina Faso,103
Sudan,101